Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Kia,Morning,2023,17800,Usado,Bencina,Blanco,Automática,9390000,Metropolitana de Santiago,Maipú,Vendedor de autos.,Autos-vehículo
Peugeot,2008,2021,55000,Usado,Bencina,Blanco,Manual,10890000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Jaguar,F-Pace,2018,100000,Usado,Diesel,Rojo,Automática,25990000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Ford,Focus,2018,103000,Usado,Bencina,Azul,Automática,10890000,Valparaíso,Valparaiso,Vendedor de autos.,Autos-vehículo
Ford,Explorer,2023,50000,Usado,Bencina,Plata,Automática,30990000,Bío Bío,Concepcion,Vendedor de autos.,"Autos, Camionetas y 4x4"
Jeep,Renegade,2022,72165,Usado,Bencina,Blanco,Manual,12480000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,"Autos, Camionetas y 4x4"
Byd,Dolphin Mini,2025,16000,Usado,Eléctrico,Amarillo,Automática,14980000,Valparaíso,Concón,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Taos,2023,25000,Usado,Bencina,Plata,Automática,18490000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Mitsubishi,Outlander,2018,88547,Usado,Bencina,Rojo Rojo,Automática,12090000,Metropolitana de Santiago,San Joaquin,Vendedor de autos.,"Autos, camionetas y 4x4"
Jeep,Commander,2023,12372,Usado,Bencina,Azul,Automática,29990000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Sedan
Nissan,Qashqai,2021,45000,Usado,Bencina,Gris,Automática,17490000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
MINI,Cooper,2022,29800,Usado,Bencina,Verde,Automática,21780000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
SKODA,Yeti,2014,144000,Usado,Diesel,Grafito,Automática,7990000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,Autos-vehículo
Chevrolet,D-Max,2020,83700,Usado,Diesel,Rojo,Automática,13400000,Atacama,Copiapó,Vendedor de autos.,Autos-vehículo
Nissan,Kicks,2020,16900,Usado,Bencina,Plata Plata,Automática,12090000,Metropolitana de Santiago,La Dehesa,Vendedor de autos.,Autos-vehículo
